Step	State	Value
0	0	0.0016
1	0	0.0007
2	3	0.2587
3	5	0.0486
4	6	0.0755
5	2	0.0711
6	4	0.1119
7	2	0.0542
8	5	0.0110
9	6	0.1111
10	7	0.5525
11	5	0.2200
12	4	0.2049
13	5	0.0037
14	5	0.2312
15	2	0.1150
16	9	0.0299
17	6	0.0335
18	1	0.0276
19	6	0.1886
20	7	0.3121
21	3	0.0196
22	6	0.0934
23	5	0.0145
24	7	0.0340
25	8	0.0619
26	2	0.0516
27	3	0.1395
28	2	0.2228
29	7	0.1741
30	7	0.0020
31	5	0.1226
32	2	0.0210
33	9	0.0613
34	4	0.1057
35	3	0.0215
36	6	0.1064
37	3	0.0261
38	2	0.3257
39	3	0.3262
40	2	0.0179
41	4	0.0757
42	5	0.1457
43	2	0.1790
44	6	0.0063
45	6	0.0589
46	0	0.0168
47	1	0.0444
48	3	0.0140
49	8	0.1475
50	7	0.0119
51	9	0.0486
52	7	0.0402
53	6	0.0017
54	2	0.3556
55	9	0.0772
56	1	0.0509
57	0	0.1198
58	1	0.0416
59	5	0.1692
60	3	0.0196
61	2	0.0656
62	3	0.0514
63	8	0.1120
64	5	0.1044
65	4	0.0370
66	7	0.0511
67	6	0.0737
68	7	0.0356
69	5	0.0014
70	2	0.0725
71	5	0.0517
72	9	0.0951
73	0	0.0071
74	9	0.0976
75	8	0.0428
76	7	0.0146
77	8	0.0134
78	5	0.1079
79	7	0.0064
80	3	0.0267
81	3	0.0058
82	6	0.0059
83	5	0.0442
84	3	0.0116
85	3	0.0982
86	6	0.2515
87	0	0.0761
88	5	0.0126
89	5	0.0650
90	7	0.0655
91	8	0.0767
92	6	0.1040
93	6	0.0159
94	2	0.0606
95	2	0.0924
96	6	0.0866
97	6	0.0378
98	6	0.0262
99	6	0.4320
100	3	0.0036
101	6	0.3212
102	9	0.1004
103	4	0.0659
104	7	0.0089
105	9	0.0666
106	5	0.1503
107	0	0.0192
108	4	0.1125
109	3	0.1272
110	1	0.0753
111	3	0.1654
112	1	0.3550
113	1	0.1335
114	1	0.1549
115	7	0.0777
116	8	0.0400
117	4	0.1493
118	9	0.4077
119	2	0.1228
120	0	0.0232
121	1	0.1000
122	9	0.0227
123	8	0.0509
124	8	0.0129
125	1	0.5395
126	6	0.0563
127	8	0.1388
128	3	0.2529
129	4	0.0917
130	7	0.0225
131	1	0.0745
132	5	0.0998
133	2	0.0667
134	6	0.0795
135	1	0.1140
136	7	0.0472
137	3	0.1319
138	5	0.0113
139	1	0.0598
140	2	0.0273
141	4	0.2077
142	6	0.0281
143	6	0.0064
144	1	0.0105
145	6	0.2010
146	2	0.1581
147	3	0.1758
148	4	0.1146
149	3	0.0029
150	2	0.0689
151	7	0.3642
152	8	0.0010
153	7	0.0589
154	1	0.1771
155	8	0.0423
156	0	0.0406
157	2	0.1315
158	5	0.1806
159	7	0.1340
160	9	0.0600
161	5	0.0263
162	2	0.4106
163	0	0.1081
164	6	0.0454
165	6	0.2179
166	8	0.0499
167	8	0.1300
168	3	0.0827
169	1	0.0731
170	3	0.0056
171	8	0.0603
172	3	0.0074
173	1	0.3228
174	9	0.3443
175	6	0.1819
176	4	0.0348
177	0	0.1071
178	2	0.0127
179	3	0.2771
180	4	0.5533
181	8	0.0414
182	3	0.1142
183	0	0.1553
184	2	0.0259
185	3	0.0981
186	2	0.0173
187	0	0.1106
188	2	0.0288
189	6	0.0142
190	2	0.0387
191	9	0.1003
192	6	0.0031
193	2	0.2177
194	1	0.0909
195	8	0.1001
196	5	0.1031
197	9	0.3723
198	3	0.0025
199	7	0.0812
200	2	0.0062
201	1	0.0765
202	2	0.0283
203	1	0.0595
204	4	0.1737
205	5	0.1239
206	1	0.0790
207	3	0.1395
208	5	0.0974
209	6	0.1291
210	2	0.0609
211	3	0.1633
212	0	0.0382
213	7	0.0531
214	3	0.0776
215	9	0.0902
216	5	0.0147
217	1	0.1695
218	3	0.0386
219	2	0.2072
220	1	0.1815
221	5	0.0328
222	3	0.2479
223	0	0.3012
224	5	0.1086
225	6	0.1380
226	1	0.0021
227	5	0.0230
228	3	0.0393
229	6	0.1135
230	8	0.0861
231	2	0.0613
232	7	0.0493
233	2	0.0093
234	7	0.0754
235	9	0.1866
236	3	0.0779
237	1	0.1348
238	4	0.0159
239	6	0.4194
240	8	0.0446
241	7	0.2500
242	3	0.0326
243	1	0.1259
244	5	0.1329
245	3	0.0616
246	3	0.1068
247	9	0.0014
248	0	0.0200
249	1	0.1372
250	7	0.0064
251	5	0.0069
252	5	0.1232
253	8	0.0052
254	8	0.0678
255	0	0.1075
256	8	0.1456
257	5	0.0254
258	0	0.1183
259	9	0.1024
260	4	0.0393
261	0	0.1310
262	9	0.0005
263	7	0.0013
264	1	0.1864
265	7	0.2236
266	9	0.0421
267	9	0.0704
268	0	0.1439
269	5	0.2288
270	2	0.0891
271	5	0.0099
272	3	0.0131
273	3	0.0496
274	8	0.0292
275	0	0.0268
276	5	0.0128
277	9	0.0800
278	1	0.1215
279	5	0.0373
280	5	0.0384
281	1	0.0594
282	6	0.0172
283	9	0.1226
284	9	0.0696
285	5	0.0181
286	0	0.0164
287	2	0.0573
288	2	0.0861
289	8	0.0088
290	8	0.1894
291	3	0.0511
292	9	0.0326
293	9	0.0094
294	9	0.0709
295	3	0.0735
296	8	0.0920
297	9	0.0657
298	7	0.2409
299	1	0.1118
300	4	0.1530
301	8	0.0680
302	9	0.0096
303	9	0.0228
304	6	0.1377
305	2	0.0677
306	5	0.0928
307	8	0.0820
308	8	0.1787
309	6	0.1928
310	3	0.0045
311	3	0.0170
312	6	0.0405
313	6	0.0507
314	2	0.1698
315	0	0.1043
316	5	0.2296
317	1	0.0750
318	9	0.0058
319	7	0.1064
320	8	0.0011
321	1	0.0501
322	6	0.0025
323	9	0.0676
324	8	0.0906
325	3	0.0211
326	6	0.1243
327	3	0.0327
328	0	0.3758
329	6	0.0326
330	7	0.1341
331	9	0.0488
332	6	0.0055
333	9	0.0975
334	1	0.1012
335	2	0.2425
336	6	0.0533
337	3	0.0297
338	4	0.0287
339	7	0.0344
340	8	0.0086
341	4	0.0650
342	7	0.1732
343	7	0.1777
344	7	0.0553
345	1	0.0889
346	1	0.0024
347	9	0.1567
348	0	0.2105
349	4	0.0207
350	5	0.1143
351	0	0.0166
352	0	0.0507
353	4	0.0745
354	6	0.0162
355	8	0.0662
356	2	0.0342
357	9	0.0021
358	1	0.1237
359	8	0.2354
360	1	0.3061
361	4	0.0337
362	9	0.0615
363	0	0.0053
364	3	0.0658
365	2	0.1851
366	1	0.0407
367	9	0.0281
368	7	0.0512
369	7	0.0464
370	5	0.0865
371	8	0.1512
372	8	0.1649
373	7	0.3530
374	5	0.1044
375	8	0.1027
376	5	0.0451
377	9	0.0855
378	8	0.5069
379	6	0.0162
380	4	0.1981
381	9	0.0999
382	1	0.3912
383	8	0.2515
384	3	0.1021
385	2	0.2581
386	2	0.0146
387	6	0.0077
388	9	0.0689
389	0	0.0603
390	1	0.2498
391	0	0.1341
