Step	State	Value
0	0	0.4944
1	4	0.0716
2	0	0.9680
3	5	0.4766
4	3	0.2765
5	0	0.1216
6	0	0.2361
7	2	0.4061
8	2	0.3690
9	0	0.1846
10	5	0.3772
11	0	0.0308
12	0	0.0848
13	0	0.0124
14	0	0.1008
15	0	0.4602
16	2	0.2158
17	0	0.1505
18	0	0.2329
19	0	0.3809
20	0	0.2555
21	0	0.0206
22	0	0.0363
23	1	0.0105
24	1	0.0148
25	0	0.0481
26	0	0.1188
27	5	0.3353
28	0	0.2318
29	0	0.0245
30	0	0.0972
31	0	0.4466
32	0	0.0147
33	0	0.3780
34	0	0.4857
35	0	0.0507
36	0	0.4524
37	7	0.6537
38	0	0.2781
39	0	0.4605
40	0	0.7074
41	0	0.0789
42	0	0.0768
43	0	0.0537
44	5	0.2139
45	0	0.2970
46	3	0.0191
47	0	0.1008
48	0	0.3746
49	8	0.1618
50	0	0.0017
51	0	0.0101
52	0	0.0108
53	0	0.0460
54	1	0.3114
55	1	0.2574
56	6	0.1124
57	0	0.1401
58	4	0.2735
59	4	0.3819
60	0	0.1652
61	1	0.0340
62	0	0.1270
63	2	0.0721
64	2	0.5029
65	2	0.4658
66	0	0.0017
67	0	0.1098
68	0	0.6395
69	1	0.3231
70	1	0.3644
71	0	0.6394
72	1	0.4788
73	0	0.0432
74	0	0.1219
75	6	0.4791
76	6	0.0144
77	1	0.5489
78	1	0.5042
79	0	0.0606
80	7	0.0303
81	0	0.0979
82	0	0.9101
83	3	0.3212
84	3	0.9755
85	3	0.7982
86	0	0.1415
87	9	0.2994
88	2	0.0990
89	3	0.4264
90	3	0.0000
91	1	0.1101
92	4	0.2819
93	4	0.0909
94	0	0.2235
95	0	0.0889
96	0	0.0234
97	0	1.0000
98	0	0.1596
99	0	0.3736
