647 46
270 44
940 89
261 74
581 56
856 34
219 30
638 78
117 66
221 31
270 28
832 93
252 94
215 20
834 90
268 68
848 69
736 5
750 30
947 49
796 27
541 44
891 59
2 83
12 94
629 87
136 72
304 52
938 83
247 45
71 47
689 17
877 40
60 35
58 3
750 83
950 50
901 38
934 5
96 33
862 90
42 58
729 57
665 64
211 97
945 47
1008 64
820 84
49 100
660 18
411 17
284 42
69 33
515 18
556 48
425 89
961 46
547 56
379 51
958 36
948 7
836 89
659 20
320 77
242 37
733 9
729 83
991 38
246 79
251 22
180 25
144 1
872 15
855 67
305 99
9 13
583 73
893 52
595 62
470 34
627 6
58 92
862 68
202 25
302 51
809 29
158 68
568 68
16 74
1020 49
417 74
405 13
720 77
179 2
311 63
529 45
757 81
126 16
826 84
542 15
17 17
591 84
704 87
960 47
3 61
316 16
328 33
455 21
869 97
277 63
242 18
596 59
683 57
810 48
757 82
637 56
388 29
716 93
696 30
634 53
171 95
861 85
502 56
640 31
428 99
860 57
576 24
29 11
702 9
10 66
225 41
693 57
173 88
311 88
734 44
101 59
216 41
62 5
261 19
217 12
943 14
217 76
98 19
883 47
984 71
812 97
48 44
380 81
722 6
275 53
158 88
180 26
686 16
288 90
443 81
126 71
224 85
855 99
247 90
453 41
291 13
892 51
912 65
932 20
989 48
979 62
110 2
718 39
5 93
801 59
501 75
780 53
639 76
118 86
648 83
232 84
785 14
470 63
321 69
949 88
596 59
128 3
1003 9
71 89
464 41
470 50
558 17
465 95
989 66
28 46
492 83
554 98
676 46
721 80
1021 34
1000 32
812 43
77 91
745 78
254 49
88 75
250 88
831 37
662 60
488 91
342 35
107 18
539 91
476 13
549 3
313 35
896 39
223 56
433 98
560 9
455 66
949 59
854 5
709 66
710 10
422 41
129 35
598 90
201 6
614 86
557 86
171 53
309 12
599 45
636 71
436 11
1012 76
535 85
575 54
743 19
988 38
975 55
38 92
119 68
204 90
607 76
238 29
566 68
271 2
762 6
129 53
803 80
161 14
905 38
817 92
206 8
726 5
299 50
197 34
441 85
100 84
88 74
751 18
116 55
858 89
378 84
760 38
221 79
92 66
673 43
110 54
885 18
497 28
7 14
154 35
7 68
778 49
317 66
669 15
60 65
900 6
700 48
300 18
897 9
1011 91
656 51
827 10
924 45
635 34
559 84
745 68
745 43
970 14
713 78
47 46
623 89
193 24
883 10
430 50
45 65
82 58
964 48
201 63
503 20
454 45
636 49
730 78
498 17
901 50
837 94
597 15
523 28
357 36
707 90
563 24
179 84
15 9
307 52
132 91
397 78
994 99
238 27
418 24
381 50
19 31
403 78
104 73
511 69
806 95
797 53
523 3
44 67
419 48
704 69
808 35
286 89
338 24
85 44
106 16
703 96
325 64
595 4
329 14
566 95
805 13
114 97
657 30
650 83
667 84
108 93
597 32
839 69
527 80
721 70
155 41
263 64
938 44
686 92
566 44
515 89
411 95
696 38
855 64
660 24
328 75
651 16
121 50
536 39
350 92
373 14
990 48
79 99
1005 65
761 36
696 44
275 80
451 62
925 52
162 56
182 62
888 20
515 98
885 39
527 15
215 53
999 51
472 94
844 96
557 56
18 53
282 24
615 6
998 44
439 44
63 58
12 14
886 82
587 28
744 23
985 65
843 79
936 27
552 54
628 27
612 12
906 31
491 22
319 72
828 54
892 41
40 53
792 9
405 99
249 1
167 100
252 3
457 55
355 51
680 25
982 76
242 54
562 15
893 49
146 57
510 89
262 90
187 69
877 51
1022 72
789 67
454 3
240 42
753 36
968 54
730 77
230 13
945 17
105 52
3 49
359 99
138 53
90 24
704 93
280 18
697 6
776 36
78 100
364 39
113 63
565 52
450 14
676 9
243 67
21 48
82 84
763 60
357 94
305 63
759 90
664 68
719 6
938 6
233 14
773 79
430 71
191 99
419 17
718 56
368 39
787 36
1016 63
836 23
62 73
520 91
111 17
613 33
486 31
1024 9
663 50
897 44
282 7
809 30
108 69
619 49
503 72
443 13
705 49
937 2
281 80
477 71
271 35
462 87
152 16
144 33
510 93
718 74
151 53
495 39
975 68
39 6
81 51
96 35
791 40
873 52
864 46
249 52
840 50
113 61
476 28
149 19
214 13
746 1
